"V1"
"ORANGE"
"YELLOW"
"GREEN"
"RED"
"BLUE"
"VIOLET"
"CYAN"
"AQUA"
"TURQUOISE"
"ECD"
"EFLUORR780"
"CY7"
"CYTM7"
"CYTM55"
"EFLUORR450"
"QDOT525"
"CY5"
"AF647"
"BV711"
"AF700"
"BV570"
"V500"
"BV785"
"QDOT585"
"CY55"
"QDOT605"
"QDOT565"
"EFLUOR655"
"ALEXA647"
"ALEXA700"
"BV421"
"ALEXA488"
"AX488"
"AX647"
"BV650"
"PECF594"
"BV786"
"BB515"
"EFLUOR660"
"BV605"
"BV510"
"APCEF780"
"PECY7"
"EF450"
"BRILLIANTVIOLET650"
"BRILLIANTVIOLET570"
"BRILLIANTVIOLET786"
"BRILLIANTVIOLET711"
"BRILLIANTVIOLET605"
"ALEXAFLUOR488"
"ALEXAFLUOR700"
"BRILLIANTVIOLET785"
"BRILLIANVIOLET786"
"BRILLIANVIOLET605"
"ALEXAFLUOR647"
"BRILLIANVIOLET421"
"BRILLIANVIOLET650"
"BRILLIANVIOLET711"
"PEEFLUOR610"
"ALEXA555"
"ALEXA489"
"AF488"
"BUV395"
"BUV496"
"DAZZLE594"
"BUV737"
"EF710"
"AF610"
"EFLUOR710"
"AX700"
"CY7A"
"BV450"
"QDOT655"
"QDOT800"
"VIOLET450"
"AX750"
"VIO770"
"EF780"
"DAZZLE964"
"EFLUOR450"
"EFLUOR780"
"CF594"
"EFLUOR506"
"VIOLET510"
