"V1"
"ND148"
"BA138"
"GD160"
"YB174"
"YB176"
"TM169"
"SM147"
"DY164"
"SM149"
"TB159"
"PR141"
"ER168"
"LU175"
"BCKG190"
"EU151"
"EU153"
"PD106"
"BI209"
"PD104"
"DY161"
"ND142"
"ND150"
"YB173"
"HO165"
"YB171"
"IR191"
"DY162"
"SM152"
"PT195"
"Y89"
"IR193"
"ER167"
"GD157"
"ER170"
"ND146"
"IN113"
"ER166"
"CE142"
"YB172"
"PD102"
"PD105"
"SM154"
"GD155"
"PT198"
"GD158"
"ND145"
"GD156"
"IN115"
"PD108"
"PT194"
"ND143"
"ND144"
"CE140"
"LU176"
"DY163"
"PD110"
"XE131"
"PB208"
"LA139"
"OS190"
"RH103"
"PT196"
"XE132"
"NB93"
"HF180"
"SN120"
"PB206"
"I127"
"OS189"
"CS133"
"TL203"
"TL205"
"PM147"
"YB170"
"TA181"
"OS192"
"DY160"
"SN118"
"SB121"
"SB123"
"SR88"
"148ND"
"138BA"
"160GD"
"174YB"
"176YB"
"169TM"
"147SM"
"164DY"
"149SM"
"159TB"
"141PR"
"168ER"
"175LU"
"190BCKG"
"151EU"
"153EU"
"106PD"
"209BI"
"104PD"
"161DY"
"142ND"
"150ND"
"173YB"
"165HO"
"171YB"
"191IR"
"162DY"
"152SM"
"195PT"
"89Y"
"193IR"
"167ER"
"157GD"
"170ER"
"146ND"
"113IN"
"166ER"
"142CE"
"172YB"
"102PD"
"105PD"
"154SM"
"155GD"
"198PT"
"158GD"
"145ND"
"156GD"
"115IN"
"108PD"
"194PT"
"143ND"
"144ND"
"140CE"
"176LU"
"163DY"
"110PD"
"131XE"
"208PB"
"139LA"
"190OS"
"103RH"
"196PT"
"132XE"
"93NB"
"180HF"
"120SN"
"206PB"
"127I"
"189OS"
"133CS"
"203TL"
"205TL"
"147PM"
"170YB"
"181TA"
"192OS"
"160DY"
"118SN"
"121SB"
"123SB"
"88SR"
